'local_id','created','content','score','username'
'289472','','Máy dùng mượt. Tác vụ cơ bản rất oke. Loa hay. Pin ổn. Chip M2 thì dùng vô tư 34 năm nữa.','5','Nguyễn Anh Hào'
'325500','','Mới mua được 2 tháng thì sạc không vô, hư cổng sạc mà bảo hành thì phải chờ nửa tháng, công việc chậm trễ rồi sao. Đành phải mua sạc 60W sạc qua cổng C dùng tạm. QC độ bền chuẩn quân đội mà v đó','2','Quang'
'325500','','Máy mới mua mà chậm kinh khủng. Không nên mua nha mọi người.','1','Thanh'
'325500','','Nhân viên tư vấn không trung thực, không tư vấn cho tôi máy được giảm giá trừ trực tiếp vào giá máy, mà nói là tặng tôi phụ kiện nhưng thực tế là tôi mua để họ bán phụ kiện. Gian dối trong lúc thu tiền, nói với tôi là tài khoản của thế giới di động bị lỗi, để chúng tôi phải chuyển tiền vào tài khoản nhân viên shop. Gian dối thu thừa tiền của tôi. Cài máy tính thì ko chia tách ổ, office rất tồi. Tôi rất thất vọng. Tôi mới mua tối qua 4/10','1','Bùi Thị Tâm'
'325500','','Máy ổn nhưng hỗ trợ phần mềm office quá chán, chắc không mua lại laptop đmx hay tgdd','1','Linh'
'325500','','Dùng tạm ổn. Pin khá trâu. Mỗi tội chip hơi đuối. Dùng bình thường cũng thi thoảng giật lag. Mới mua được 3 ngày mà đang dùng bình thường tự nhiên nó vào bios như này cũng k biết tại sao','4','Phạm Quang Huy'
'311176','','Cập nhật xong màn đen mà máy vẫn chạy, máy chạy rất to mua dòng này muốn k chạy to như dell mà k khác gì dell','1','Thu Huyền'
'322222','','Máy để chế độ sleep khoảng 12 tiếng sẽ bị nóng máy, bật không lên ngay mà phải chờ 1 lúc rồi ấn enter liên tục thì mới chập chờn nháy logo mấy lần mới lên được Nhấn mạnh là máy sẽ rất nóng và quạt tản nhiệt lúc này sẽ không chạy. Pin thì không hao nhiều nên để chế độ sleep không bị tốn pin. Do tính chất công việc nên gần như mình sẽ không tắt laptop mà chỉ để chế độ sleep. Rõ ràng có một cái lỗi lớn đáng báo động như thế nhưng mình không hề biết cho đến khi dùng nó, sau khi báo lại nhân viên thì lấy lý do là tại win 11 nên tất cả các máy đều sẽ bị như thế và không có giải pháp nào Mình có đề xuất hạ bản win hoặc xóa bớt app nhưng đều bị cho là không khả thi. Không thể hiểu nổi rõ ràng đây là một cái lỗi lớn nhưng cách giái quyết thì như kiểu đây là điều hiển nhiên trong khi máy mới dùng đâu đó 1 tuần.Trừ lỗi đó ra hiện tại tất cả chức năng khác đều ổn. Chắc là dùng cái máy này thì chỉ nên để chế độ Sleep khoảng 15 phút đổ lại còn không thì tắt hẳn máy luôn. Đây là một trải nghiệm tồi, chắc mình sẽ có cái nhìn khác về Acer vè TGDĐ, lần sau chắc có mua thì sẽ chỉ là giá rẻ','1','Pham Dung'
'322222','','Mua sản phẩm vào tháng 09/2024 đến tháng 02/2025 máy bị hư hỏng, không mở nguồn được. Đem về trạm bảo hành, trạm bảo bị oxy hóa main, phần này lỗi do bị dô nước. Máy mình sử dụng rất kỹ, thế mà bảo dô nước kiểu gì không hiểu. Thế là không được bảo hành. Muốn sử dụng phải thay main, trị giá 14 triệu, hơn cả tiền mua máy. Thế là mất cả chì lẫn chày. Sẽ không 1 lần nào mua hãng Acer này nữa, và cũng sẽ khuyến cáo người thân bạn bè không mua. Sản phẩm chất lượng quá tệ, chỉ biết đổ cho người dùng.','1','Lê Văn Đối'
'322222','','trong tâm gia nay thi ryzen 7 5800u đap ưng qua đu cho tac vu hăng ngay, pin tương đôi tôt nêu sư dung tac vu nhe như word, excel, ppt. May không phu hơp cho chơi game năng vê câu hinh vi không co card gpu rơi, nhưng con lai nhưng game 2d hay thâm chi minecraft Ryzen 7 5800u lam rât tôt. Man hinh đu dung, net, loa tương đôi nho chi phu hơp cho văn phong hoăc phong ngu. Ban phim không co đen nên nhưng sư dung tôt, khoan cach phim dê tiêp cân, hanh trinh phim ngăn, đu dung cho hăng ngay, trackpad size vưa, sư dung tôt. chât liêu hoan thiên hoan toan băng nhưa nên chip ryzen co đôi luc cam giac nong nhưng không bao h qua 70 đô C. co sac type c song song vơi đâu AC. mưc đô hoan thiên kha, tuy lam băng nhưa nhưng đu cưng cap, kha năng nâng câp kem, ca CPU va RAM đêu han chêt vao board. noi chung 12tr đu sưc sai tac vu hăng ngay. 9đ','5','Long Hoang'
