'local_id','created','content','score','username'
'325691','','Nhanh hết pin .bàn phím ko có đèn . khó làm việc','2','thien'
'325691','','mới mua được 2 ngày mà thấy máy mau nóng nhanh hết pin s bảo pin được 6,7 tiếng','3','Ngọc Ánh'
'325691','','Máy mới mua mà pin sài chưa tới 1.5 tiếng, lúc lắp đặt máy có hỏi nhân viên là pin sài được bao lâu thì bảo 6,7 tiếng, giờ nhắn tin phản ánh thì nhân viên dmx đọc tin nhắn k trả lời, quá tệ','1','Trương thị hoà'
'325691','','Máy mới mà nhanh hết pin chắc dùng được 2 tiếng','2','Nong thi lan'
'325691','','Mới mua mà dùng máy nhanh hết pin nhanh nóng máy','1','Nguyễn Thị Quyên'
'322270','','Mua máy được vài ngày thì máy lỗi chuột cảm ứng chạy lung tung lag,mang ra nhân viên xử lý thì được nửa ngày lại bị lại,chả hiểu sao,gọi nhân viên thì bảo mang đi thẩm định tận 10 đến 15 ngày mới được đúng lúc lại rất cần máy ,mình thấy rất nhiều người dùng máy này bị lỗi chuột cảm ứng','1','Nguyễn Văn Giáp'
'322270','','giống như các đánh giá 1 sao khác. Máy lag khi sử dụng thanh taskbar, dù không chạy tác vụ hay làm gì phức tạp. Touchpad không thể sử dụng nổi, chạm là chuột nhảy lung tung, lag hết màn hình, thậm chí ngay cả dùng chuột riêng cũng bị là do touchpad tự cảm ứng, cực kì khó chịu. Dùng được 1 ngày máy đã có hiện tượng đơ lag, mang ra cửa hành check thì nhân viên báo do win lỗi, do tay chạm làm máy nhạy. Bảo hành theo kiểu máy nó vốn dĩ thế thì bán cho khách cái máy toàn vấn đề để làm gì. Sau khi sửa và kiểm tra tại cửa hàng, về vẫn xuất hiện hiện tượng đấy. Touchpad không chạm cũng nhảy, ngôn ngữ bàn phím trên taskbar đã được sửa vẫn có hiện tượng như cũ.','1','Phạm Hoàng Hà'
'322270','','Ước gì đọc được đánh giá của các bạn sớm hơn. Vừa mua về chưa kịp làm việc thì máy treo luôn đến giờ vẫn chưa hoạt động được','2','Thu'
'322270','','dúng 1 tháng không sao, sang tháng thứ 2 đúng được mấy tiếng thì không lên nguồn. cảm giác tệ.','1','Nguyễn Thị Thu Thảo'
'322270','','Lại hư phần cảm ứng. Dù đã đổi lại cùng máy mới cùng sp sài 5 ngày vẫn hư phần cảm ứng tiếpChỗ uy tín nhưng bán cho KH sản phẩm không uy tín','1','Dung'
'322270','','Máy điên khùng gì chuột chạy tung tăng chẳng làm đc gì dùng mà phát khùng. Bán gì cái máy dởm vậy biết','1','Hải nguyễn'
'322270','','hư cảm ứng','1','lê hồng minh'
'322270','','Sản phẩm quá tệ, khách hỏi mua sp từ 1518tr thì giới thiệu loại này. Mua về dùng đc 20 ngày thì giật lag, chuột bàn phím tự di chuyển, tự nháy tự giật. Ra cửa hàng thì nv bảo do ph mềm chạy lại ph mềm đem ề dùng thử r hãng mang ra đổi mua từ 12/8 đến tầm 20/8 thấy giật lag, do mưa bão k thể đem đi bảo hành đc. Hôm nay là 17/9 giật lag điên k làm nổi bài tập. Hôm 12/8 nv vừa khắc phục lỗi đc 2 hôm, dùng thấy vẫn bth nhắn hỏi xem có nên đổi luôn k thì bảo k phải do phần cứng đâu, hôm sau lại giật lag giờ hết hạn đổi rồi còn đâu, mà mình nghĩ loại này dởm cái nào cũng như thế. 14 triệu chứ ít à Bán hàng không có tâm coi tiền bạc của ng khác là cỏ rác à, không thể chịu nổi. Mà giờ đọc thấy 1 đánh giá bên dưới cũng bị y chang vậy, mình dùng qua vài loại laptop rồi cả loại có 8 triệu cũng k bị giật lag như thế này đâu. Kêu do phần mềm Mà trong khi đó chưa tự tải một cái gì, chỉ dùng tác vụ cơ bản.','1','Vi Nguyệt Hằng'
'322270','','Dùng 3 tháng. Bị lỗi hư phần cứng. H nhân viên nói bị lỗi hư phần cứng. Phải gửi về hãng sửa. Mọi ng mua máy trong tháng đầu dùng hết chức năng của máy. Đừng để giống tôi. K dùng chuột lap. Dùng chuột rời. H mới phát hiện thì muộn rồi. Gửi về hãng thì k có máy dùng. K gửi thì tự mình chịu máy bị hư','3','Ngo Hang'
'322270','','Tệ, một trải nghiệm cực kì tệ','1','Trần Vũ Phong'
'322270','','Dùng ổn, pin cũng được khoảng gần 4 tiếng. Nếu chỉ dùng văn phòng thì chạy mượt các tác vụ.','5','Nam'
'322072','','Em dùng được 8 tháng giờ bị như này có được bảo hành không ạ','3','Duy Đức'
